#____________________________________________________________
#
#                   RCTelescopeTiming                 
#      Roque Cherenkov Telescope Timing Analysis Package    
#               Selecting Events for Plots 		   
#            Author: Max Ahnen, IPP ETH Zurich            
#____________________________________________________________
#Gamma-Ray like 3-Telescope-Events
#
#NIGHT,RUNID,EventNum,E/GeV
20141001,291,1373,599.671
20141001,291,11097,690.174
20141001,291,19154,582.784
20141001,292,19749,789.74
20141001,302,6735,611.203
20141001,302,11819,1174.65
20141001,302,14799,920.994
20141001,302,16077,1408.94
20141001,302,16843,1121.08
20141001,302,17637,1068.49
20141001,303,353,618.873
20141017,114,546,1139.47
20141017,114,1944,653.871
20141017,114,3218,1130.02
20141017,114,10332,1241.96
20141017,114,14938,741.06
20141017,114,15365,5065.55
20141017,114,16974,1499.01
20141017,114,19048,1867.85
20141017,117,4063,1533.09
20141017,117,5200,2647.68
20141017,117,9846,1068.45
20141017,117,11930,939.39
20141017,118,718,912.874
20141017,118,1732,1374.28
20141017,118,7364,2928.37
20141017,118,13560,1128.92
20141017,118,15085,726.206
20141017,119,1487,3504.09
20141017,119,6908,1534.24
20141017,119,6921,918.728
20141017,119,8202,7225.67
20141017,120,9266,1089.82
20141017,130,1140,2724.71
20141017,130,18104,973.698
20141017,131,892,1516.48
20141017,131,1860,2405.85
20141017,131,2734,1304.47
20141017,131,3581,1024.55
20141017,131,4070,925.056
20141017,131,4408,2526.87
20141017,131,5155,2303.3
20141017,131,6699,836.875
20141017,131,11068,2448.61
20141017,132,976,1425.79
20141017,132,2038,2152.43
20141017,132,5206,711.924
20141017,132,11612,4269.36
20141017,132,11847,2134.49
20141017,132,12045,3061.59
20141017,132,12902,889.175
20141017,132,15043,1000.9
20141017,133,1914,891.002
20141017,133,2252,2341.09
20141017,133,2812,757.127
20141017,133,3830,2735.84
20141017,133,4581,1345.21
20141017,133,8283,703.947
20141017,133,10902,2357.96
20141017,133,12351,1537.96
20141017,133,13574,795.151
20141017,133,14468,885.734
20141017,136,1798,908.854
20141017,136,10053,989.409
20141017,136,13653,1587.53
20141017,137,264,610.666
20141017,137,1103,749.305
20141017,137,2919,1810.09
20141017,137,7697,674.453
20141017,137,12176,998.053
20141017,138,69,1213.84
20141017,138,427,555.35
20141017,138,9694,724.188
20141017,138,11723,812.74
20141017,139,555,527.386
20141017,139,3855,3380.29
20141017,142,214,659.547
20141017,142,5094,1936.21
20141017,142,5506,726.819
20141017,142,5725,678.933
20141017,142,7001,521.289
20141017,142,7740,531.604
20141017,142,10107,639.201
20141017,142,10800,4925.23
20141017,142,12035,1059.78
20141017,142,12469,2187.17
20141017,142,14425,2341.51
20141017,142,14475,1292.48
20141017,143,341,1372.35
20141017,143,682,1121.09
20141017,143,4863,3430.81
20141017,143,5547,1355.13
20141017,143,9700,590.965
20141017,143,11995,1099.36
20141017,144,1088,6756.5
20141017,144,3493,832.969
20141017,144,3760,1240.21
20141017,144,4828,2857.35
20141017,144,9990,4330.29
20141017,145,11247,1331.98
20141017,145,11599,548.335
20141017,155,1920,825.289
20141017,155,18960,1102.09
20141017,156,809,2243
20141017,156,1302,767.165
20141017,156,2556,981.474
20141017,156,3633,1237.59
20141017,156,4217,361.854
20141017,156,7181,1003.94
20141017,156,11401,5729.13
20141017,156,11901,491.497
20141017,156,13594,1880.46
20141017,156,13771,920.915
20141017,157,3940,566.118
20141017,157,5247,699.957
20141017,157,5310,5154.85
20141017,157,6977,495.717
20141017,157,12342,348.479
20141017,158,1011,751.805
20141017,158,3345,3076.68
20141017,158,4654,818.224
20141017,158,9075,766.873
20141017,158,9353,840.243
20141017,158,12647,7934.55
20141017,161,10180,2564.16
20141017,161,13306,556.744
20141017,162,5582,3191.28
20141017,162,10644,1586.25
20141017,162,11039,804.63
20141017,163,589,3921.5
20141017,163,13161,953.874
20141017,164,14281,1306.28
